Date,Close,Volume
19-06-2015,50.6802,10609714
22-06-2015,50.652,7100665
23-06-2015,50.8541,5679984
24-06-2015,50.4735,5524969
25-06-2015,50.8118,5389863
26-06-2015,51.3286,6637183
29-06-2015,50.3231,6534077
30-06-2015,50.3842,9793969
01-07-2015,50.6426,6107698
02-07-2015,50.9715,5684667
06-07-2015,51.0326,5396439
07-07-2015,51.0984,9462256
08-07-2015,50.1728,8139303
09-07-2015,50.793,7681013
10-07-2015,51.2817,8087800
13-07-2015,52.3436,7477170
14-07-2015,52.3905,7028025
15-07-2015,52.0053,8212573
16-07-2015,52.3812,7305520
17-07-2015,52.3342,8715431
20-07-2015,52.8228,8029646
21-07-2015,52.8134,6717452
22-07-2015,53.2739,6876059
23-07-2015,53.1517,12439229
24-07-2015,53.8377,14559687
27-07-2015,53.5464,8993523
28-07-2015,53.6968,8689215
29-07-2015,54.0445,8470512
30-07-2015,54.5613,7337948
31-07-2015,54.4392,6519528
03-08-2015,54.6835,7664002
04-08-2015,55.3149,9113083
05-08-2015,55.607,7349063
06-08-2015,53.9297,11064470
07-08-2015,53.9014,7781995
10-08-2015,53.025,12029150
11-08-2015,53.1004,8062553
12-08-2015,53.1287,10075571
13-08-2015,53.5716,6731474
14-08-2015,53.8072,4803903
17-08-2015,54.4103,5768362
18-08-2015,54.4951,5575441
19-08-2015,54.2689,6044193
20-08-2015,52.5916,7470885
21-08-2015,49.7928,20211503
24-08-2015,47.437,27158813
25-08-2015,48.1438,19659002
26-08-2015,50.8482,15517591
27-08-2015,52.7235,15987923
28-08-2015,52.4219,7584826
31-08-2015,51.555,7971204
01-09-2015,50.4148,13424932
02-09-2015,52.0733,9891071
03-09-2015,51.5361,7968868
04-09-2015,51.1498,6994267
08-09-2015,52.0262,8051710
09-09-2015,51.5361,8406656
10-09-2015,52.1769,8924778
11-09-2015,53.27,8363110
14-09-2015,53.0439,5464463
15-09-2015,53.6281,6741341
16-09-2015,53.9579,6593362
17-09-2015,53.9768,7525349
18-09-2015,53.5622,16268035
21-09-2015,54.2218,6220131
22-09-2015,53.826,8585093
23-09-2015,54.4574,6829205
24-09-2015,55.0039,10027330
25-09-2015,54.6458,10627026
28-09-2015,52.5539,11548114
29-09-2015,52.5068,9392065
30-09-2015,53.5622,9799610
01-10-2015,54.1653,8497124
02-10-2015,54.7307,9036765
05-10-2015,55.6353,8198998
06-10-2015,55.3055,5642949
07-10-2015,55.3903,8138313
08-10-2015,56.0311,6834836
09-10-2015,56.6059,7969884
12-10-2015,57.0488,6430301
13-10-2015,56.6907,6262774
14-10-2015,55.428,8365604
15-10-2015,56.2478,9745919
16-10-2015,56.474,12860812
19-10-2015,57.454,8117213
20-10-2015,57.3692,6089097
21-10-2015,57.0394,6063923
22-10-2015,57.944,9182031
23-10-2015,58.9994,8205994
26-10-2015,59.7721,9751716
27-10-2015,59.0937,8973243
28-10-2015,59.8475,9627260
29-10-2015,58.8958,14839093
30-10-2015,58.9617,16822302
02-11-2015,58.6508,8547237
03-11-2015,59.1785,8847718
04-11-2015,58.3869,9085091
05-11-2015,58.6884,6144979
06-11-2015,58.3963,6616305
09-11-2015,57.9898,6838326
10-11-2015,58.7839,6689040
11-11-2015,58.4908,4437315
12-11-2015,57.7345,6793779
13-11-2015,56.4772,8821593
16-11-2015,57.3658,8096603
17-11-2015,57.2429,6695251
18-11-2015,58.4247,7215255
19-11-2015,58.1032,5154366
20-11-2015,58.6043,8302476
23-11-2015,59.2188,8493485
24-11-2015,58.5759,7908223
25-11-2015,58.7934,4549913
27-11-2015,58.7839,2447902
30-11-2015,58.0371,9863771
01-12-2015,58.0182,10910838
02-12-2015,57.8763,6587454
03-12-2015,56.2976,12056103
04-12-2015,58.3774,9100588
07-12-2015,58.5097,5967809
08-12-2015,58.765,6664947
09-12-2015,57.8385,8541573
10-12-2015,58.4908,6623896
11-12-2015,56.5528,11489255
14-12-2015,56.6473,13453719
15-12-2015,56.7041,7842073
16-12-2015,57.0539,9281835
17-12-2015,56.2645,9079430
18-12-2015,55.4183,18099462
21-12-2015,56.2881,7187470
22-12-2015,56.7135,6501424
23-12-2015,57.0444,4510229
24-12-2015,57.0255,2215418
28-12-2015,56.9026,4437236
29-12-2015,57.7913,5477335
30-12-2015,57.4982,3973912
31-12-2015,56.7513,4960875
04-01-2016,55.078,13521544
05-01-2016,55.4467,9617778
06-01-2016,54.9551,8266322
07-01-2016,53.5938,11140877
08-01-2016,53.537,10427021
11-01-2016,54.662,10757313
12-01-2016,56.2125,12375826
13-01-2016,54.7093,11303603
14-01-2016,55.7587,11444106
15-01-2016,54.8322,15246127
19-01-2016,55.3522,12288950
20-01-2016,53.8112,22786359
21-01-2016,55.806,20888519
22-01-2016,55.9383,32820193
25-01-2016,54.5581,13554262
26-01-2016,55.4089,8898100
27-01-2016,54.4824,12491252
28-01-2016,56.047,11832368
29-01-2016,57.4509,13224438
01-02-2016,58.0465,9529094
02-02-2016,57.5675,9407352
03-02-2016,56.4625,12254460
04-02-2016,55.2864,13944926
05-02-2016,51.6822,24529008
08-02-2016,51.3503,21457492
09-02-2016,51.6159,11605059
10-02-2016,52.2988,11663942
11-02-2016,52.0901,12106062
12-02-2016,52.9817,8680205
16-02-2016,53.5033,11594766
17-02-2016,54.6604,11955188
18-02-2016,54.025,8493953
19-02-2016,54.6984,9033620
22-02-2016,55.8366,8390689
23-02-2016,55.4477,7064095
24-02-2016,55.1157,10780882
25-02-2016,55.7227,6262127
26-02-2016,55.3339,7473374
29-02-2016,55.2106,7645081
01-03-2016,56.9463,9183562
02-03-2016,56.491,8856392
03-03-2016,55.9978,8262455
04-03-2016,55.6753,8344773
07-03-2016,55.0114,9204624
08-03-2016,54.632,8127426
09-03-2016,54.1293,9734589
10-03-2016,54.5561,7023785
11-03-2016,54.6225,15497560
14-03-2016,55.6279,9053250
15-03-2016,56.0357,7428469
16-03-2016,56.5953,8069427
17-03-2016,56.4815,7734658
18-03-2016,56.6238,14313578
21-03-2016,56.0547,6487185
22-03-2016,56.3203,8246837
23-03-2016,55.7986,5794495
24-03-2016,55.3528,5948307
28-03-2016,55.9219,5791603
29-03-2016,56.4815,6031947
30-03-2016,56.9178,5723499
31-03-2016,56.6238,5622834
01-04-2016,57.8758,9401126
04-04-2016,57.1454,5799864
05-04-2016,56.9463,4994792
06-04-2016,57.6956,5667253
07-04-2016,58.018,8239174
08-04-2016,57.8947,5064894
11-04-2016,57.762,6103358
12-04-2016,56.4341,17565750
13-04-2016,57.1075,9898527
14-04-2016,57.0316,5157368
15-04-2016,57.392,5965310
18-04-2016,57.7525,7228573
19-04-2016,57.762,7283570
20-04-2016,57.762,5558770
21-04-2016,57.5153,12799083
22-04-2016,54.7079,29836693
25-04-2016,54.7932,8428038
26-04-2016,54.7458,8839067
27-04-2016,53.9681,12390767
28-04-2016,53.5128,9196560
29-04-2016,53.3326,12133364
